file,tag,step,value,wall_time
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,650,0.0007354208501055837,1788155284.9528878
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,660,0.0007326793856918812,1788155406.1295807
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,670,0.0007469713455066085,1788155500.0055006
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,680,0.000769125297665596,1788155596.4305909
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,690,0.0007776395650580525,1788155682.6885562
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,700,0.0007785734487697482,1788155773.2754822
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,710,0.0007688291370868683,1788155870.8566039
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,720,0.0007402859046123922,1788155970.2157576
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,730,0.0006965408101677895,1788156072.5787346
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,740,0.000678788113873452,1788156155.239045
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,750,0.0007234002696350217,1788156249.5565157
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,760,0.0007788441143929958,1788156351.076195
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,770,0.0008033408084884286,1788156448.569635
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,780,0.0007837300654500723,1788156535.9747658
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,790,0.0007593515329062939,1788156639.747062
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,800,0.0007570621673949063,1788156748.4588044
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,810,0.0007666717283427715,1788156844.5320554
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,820,0.0007843128987587988,1788156948.262247
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,830,0.0007925645331852138,1788157040.3850691
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,840,0.0008056543301790953,1788157134.4912367
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,850,0.0008046722505241632,1788157241.5559747
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,860,0.0008389169815927744,1788157332.518343
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,870,0.0008664631750434637,1788157437.343467
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,880,0.0008776928880251944,1788157517.974873
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,890,0.0008791846921667457,1788157629.6287227
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,900,0.0008931498741731048,1788157725.418456
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,910,0.0009290683083236217,1788157821.897939
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,920,0.0009939719457179308,1788157920.7352896
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,930,0.001047136727720499,1788158024.3824031
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,940,0.0010856289882212877,1788158122.6402981
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,950,0.0010993829928338528,1788158212.079542
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,960,0.001116570783779025,1788158306.6475773
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,970,0.001149930409155786,1788158406.314411
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,980,0.0011852532625198364,1788158511.4225247
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,990,0.0012033532839268446,1788158600.7586453
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1000,0.00120895029976964,1788158694.98057
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1010,0.001195357646793127,1788158800.5617762
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1020,0.00118567468598485,1788158882.8942604
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1030,0.0011844085529446602,1788158962.9916682
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1040,0.0011903047561645508,1788159050.8208816
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1050,0.0012046019546687603,1788159165.2147725
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1060,0.0012237129267305136,1788159264.2777011
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1070,0.0012332471087574959,1788159349.56069
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1080,0.0012145685032010078,1788159432.0798678
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1090,0.0012199301272630692,1788159534.4623322
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1100,0.0012146476656198502,1788159626.4295168
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1110,0.0012205160455778241,1788159720.2191858
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1120,0.0011801507789641619,1788159823.0018337
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1130,0.001114332233555615,1788159894.3243759
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1140,0.001058637397363782,1788159980.2230735
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1150,0.0010136126074939966,1788160072.7636461
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1160,0.0009884096216410398,1788160180.7490773
events.out.tfevents.1788149260.VCM15.612366.0,train/cross_clip_gate_abs_mean,1170,0.0009866859763860703,1788160274.5545554
